score	kind	address	off	on	off_hex	on_hex	module	region_type	protect
28	u32	0x00000289ffbd6e88	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ec0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ed0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ed8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ee0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ee8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6f30	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffbd6f38	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffbd6f40	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd6f48	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd6ff4	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbd7030	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd7038	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd70c0	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd70c8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd70d0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd70d8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd7110	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd7150	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd7158	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd71a0	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbd71a8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbd7280	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffbd7288	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd72c0	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffbd72c8	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffbd72d0	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd72d8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbd7350	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbd7358	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc060	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffbdc088	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc130	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc140	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc148	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc150	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbdc158	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc398	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc3c8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbdc3e0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbdc468	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc538	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc640	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbdc690	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbdc720	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbdc7a8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc7f0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbdc878	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc8a8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbdc8c0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffbdc948	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbdc978	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbdc9c0	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbdc9c8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbdca20	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffbe11f8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffbe1298	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffbe1390	0	10	0x00000000	0x0000000a		PRIVATE	READWRITE
28	u32	0x00000289ffbe1700	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffbe1810	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcebcb4	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcec388	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffcec3b0	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
28	u32	0x00000289ffced6d8	0	3	0x00000000	0x00000003		PRIVATE	READWRITE
28	u32	0x00000289ffced818	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffced8a8	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffced8d8	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffced9f0	0	2	0x00000000	0x00000002		PRIVATE	READWRITE
28	u32	0x00000289ffcedc48	0	5	0x00000000	0x00000005		PRIVATE	READWRITE
28	u32	0x00000289ffcedca8	0	1	0x00000000	0x00000001		PRIVATE	READWRITE
28	u32	0x00000289ffcede54	1	0	0x00000001	0x00000000		PRIVATE	READWRITE
28	u32	0x00000289ffcedf60	0	4	0x00000000	0x00000004		PRIVATE	READWRITE
