base	size	type	protect	module	diff_pages	diff_bytes	diff_ratio	first_diff	entropy	file_off	file_on
0x00000289ccd80000	0x10000	PRIVATE	READWRITE		1	2	0.00003052	0x00000289ccd88000	6.576	region_3783_0x00000289ccd80000_0x10000_PRIVATE_READWRITE.bin	region_3791_0x00000289ccd80000_0x10000_PRIVATE_READWRITE.bin
0x00000289da290000	0x10000	PRIVATE	READWRITE		1	2	0.00003052	0x00000289da294000	1.614	region_6061_0x00000289da290000_0x10000_PRIVATE_READWRITE.bin	region_6069_0x00000289da290000_0x10000_PRIVATE_READWRITE.bin
0x00000289dfaf0000	0x10000	PRIVATE	READWRITE		1	2	0.00003052	0x00000289dfafe000	2.455	region_6208_0x00000289dfaf0000_0x10000_PRIVATE_READWRITE.bin	region_6216_0x00000289dfaf0000_0x10000_PRIVATE_READWRITE.bin
0x00000289ff9b0000	0x10000	PRIVATE	READWRITE		1	2	0.00003052	0x00000289ff9bd000	1.783	region_6863_0x00000289ff9b0000_0x10000_PRIVATE_READWRITE.bin	region_6873_0x00000289ff9b0000_0x10000_PRIVATE_READWRITE.bin
0x000002898da30000	0x20000	PRIVATE	READWRITE		1	4	0.00003052	0x000002898da33000	1.233	region_0576_0x000002898da30000_0x20000_PRIVATE_READWRITE.bin	region_0564_0x000002898da30000_0x20000_PRIVATE_READWRITE.bin
0x00000289bb320000	0x20000	PRIVATE	READWRITE		1	4	0.00003052	0x00000289bb32a000	4.231	region_3606_0x00000289bb320000_0x20000_PRIVATE_READWRITE.bin	region_3602_0x00000289bb320000_0x20000_PRIVATE_READWRITE.bin
0x00000289bb480000	0x20000	PRIVATE	READWRITE		1	4	0.00003052	0x00000289bb481000	3.437	region_3620_0x00000289bb480000_0x20000_PRIVATE_READWRITE.bin	region_3616_0x00000289bb480000_0x20000_PRIVATE_READWRITE.bin
0x00000289bb4b0000	0x20000	PRIVATE	READWRITE		1	4	0.00003052	0x00000289bb4c2000	3.954	region_3622_0x00000289bb4b0000_0x20000_PRIVATE_READWRITE.bin	region_3618_0x00000289bb4b0000_0x20000_PRIVATE_READWRITE.bin
0x00000289bb6d0000	0x20000	PRIVATE	READWRITE		1	4	0.00003052	0x00000289bb6ee000	2.187	region_3640_0x00000289bb6d0000_0x20000_PRIVATE_READWRITE.bin	region_3636_0x00000289bb6d0000_0x20000_PRIVATE_READWRITE.bin
0x00000289ecd40000	0x20000	PRIVATE	READWRITE		1	4	0.00003052	0x00000289ecd50000	1.773	region_6642_0x00000289ecd40000_0x20000_PRIVATE_READWRITE.bin	region_6650_0x00000289ecd40000_0x20000_PRIVATE_READWRITE.bin
0x00000289d77a0000	0x30000	PRIVATE	READWRITE		3	6	0.00003052	0x00000289d77b8000	2.854	region_5911_0x00000289d77a0000_0x30000_PRIVATE_READWRITE.bin	region_5919_0x00000289d77a0000_0x30000_PRIVATE_READWRITE.bin
0x00000289ae146000	0xe9000	PRIVATE	READWRITE		8	30	0.00003143	0x00000289ae166000	1.903	region_1563_0x00000289ae146000_0xe9000_PRIVATE_READWRITE.bin	region_1557_0x00000289ae146000_0xe9000_PRIVATE_READWRITE.bin
0x000002898bb50000	0x40000	PRIVATE	READWRITE		1	9	0.00003433	0x000002898bb51000	2.103	region_0278_0x000002898bb50000_0x40000_PRIVATE_READWRITE.bin	region_0266_0x000002898bb50000_0x40000_PRIVATE_READWRITE.bin
0x000000af44a40000	0x100000	PRIVATE	READWRITE		2	37	0.00003529	0x000000af44b3e000	-0.000	region_0057_0x000000af44a40000_0x100000_PRIVATE_READWRITE.bin	region_0045_0x000000af44a40000_0x100000_PRIVATE_READWRITE.bin
0x00000289f84a0000	0x20000	PRIVATE	READWRITE		1	5	0.00003815	0x00000289f84b1000	1.860	region_6773_0x00000289f84a0000_0x20000_PRIVATE_READWRITE.bin	region_6781_0x00000289f84a0000_0x20000_PRIVATE_READWRITE.bin
0x00000289ff7f0000	0x20000	PRIVATE	READWRITE		1	5	0.00003815	0x00000289ff80f000	1.815	region_6849_0x00000289ff7f0000_0x20000_PRIVATE_READWRITE.bin	region_6859_0x00000289ff7f0000_0x20000_PRIVATE_READWRITE.bin
0x00007ff779c8c000	0x1f000	IMAGE	READWRITE	SC2_x64.exe	3	5	0.00003938	0x00007ff779c8d000	4.234	region_7278_0x00007ff779c8c000_0x1f000_IMAGE_READWRITE.bin	region_7288_0x00007ff779c8c000_0x1f000_IMAGE_READWRITE.bin
0x00007ff421940000	0x50000	PRIVATE	READWRITE		1	13	0.00003967	0x00007ff42194a000	1.362	region_7243_0x00007ff421940000_0x50000_PRIVATE_READWRITE.bin	region_7253_0x00007ff421940000_0x50000_PRIVATE_READWRITE.bin
0x000000af48a0a000	0x6000	PRIVATE	READWRITE		1	1	0.00004069	0x000000af48a0f000	1.673	region_0132_0x000000af48a0a000_0x6000_PRIVATE_READWRITE.bin	region_0120_0x000000af48a0a000_0x6000_PRIVATE_READWRITE.bin
0x00007ff41ddb0000	0x210000	PRIVATE	READWRITE		8	88	0.00004069	0x00007ff41defa000	2.574	region_7202_0x00007ff41ddb0000_0x210000_PRIVATE_READWRITE.bin	region_7212_0x00007ff41ddb0000_0x210000_PRIVATE_READWRITE.bin
0x00000289bb6f0000	0x40000	PRIVATE	READWRITE		3	11	0.00004196	0x00000289bb6f0000	1.004	region_3641_0x00000289bb6f0000_0x40000_PRIVATE_READWRITE.bin	region_3637_0x00000289bb6f0000_0x40000_PRIVATE_READWRITE.bin
0x00007ff41fbb0000	0x200000	PRIVATE	READWRITE		27	90	0.00004292	0x00007ff41fc7f000	2.153	region_7227_0x00007ff41fbb0000_0x200000_PRIVATE_READWRITE.bin	region_7237_0x00007ff41fbb0000_0x200000_PRIVATE_READWRITE.bin
0x0000028998790000	0x10000	PRIVATE	READWRITE		1	3	0.00004578	0x0000028998790000	0.156	region_0653_0x0000028998790000_0x10000_PRIVATE_READWRITE.bin	region_0647_0x0000028998790000_0x10000_PRIVATE_READWRITE.bin
0x0000028998c20000	0x10000	PRIVATE	READWRITE		1	3	0.00004578	0x0000028998c27000	3.160	region_0719_0x0000028998c20000_0x10000_PRIVATE_READWRITE.bin	region_0713_0x0000028998c20000_0x10000_PRIVATE_READWRITE.bin
0x000002899b340000	0x10000	PRIVATE	READWRITE		1	3	0.00004578	0x000002899b34c000	7.331	region_1163_0x000002899b340000_0x10000_PRIVATE_READWRITE.bin	region_1157_0x000002899b340000_0x10000_PRIVATE_READWRITE.bin
0x000002899bae0000	0x10000	PRIVATE	READWRITE		1	3	0.00004578	0x000002899baed000	7.190	region_1285_0x000002899bae0000_0x10000_PRIVATE_READWRITE.bin	region_1279_0x000002899bae0000_0x10000_PRIVATE_READWRITE.bin
0x00000289cd430000	0x10000	PRIVATE	READWRITE		1	3	0.00004578	0x00000289cd43b000	3.667	region_3887_0x00000289cd430000_0x10000_PRIVATE_READWRITE.bin	region_3895_0x00000289cd430000_0x10000_PRIVATE_READWRITE.bin
0x00000289d7470000	0x10000	PRIVATE	READWRITE		1	3	0.00004578	0x00000289d7474000	2.770	region_5864_0x00000289d7470000_0x10000_PRIVATE_READWRITE.bin	region_5872_0x00000289d7470000_0x10000_PRIVATE_READWRITE.bin
0x00000289e2f80000	0x20000	PRIVATE	READWRITE		1	6	0.00004578	0x00000289e2f80000	1.241	region_6271_0x00000289e2f80000_0x20000_PRIVATE_READWRITE.bin	region_6279_0x00000289e2f80000_0x20000_PRIVATE_READWRITE.bin
0x00000289e2fa0000	0x30000	PRIVATE	READWRITE		1	9	0.00004578	0x00000289e2fc2000	3.222	region_6272_0x00000289e2fa0000_0x30000_PRIVATE_READWRITE.bin	region_6280_0x00000289e2fa0000_0x30000_PRIVATE_READWRITE.bin
0x000002899d9a9000	0xa2000	PRIVATE	READWRITE		6	32	0.00004823	0x000002899d9d3000	3.440	region_1537_0x000002899d9a9000_0xa2000_PRIVATE_READWRITE.bin	region_1530_0x000002899d9a9000_0xa2000_PRIVATE_READWRITE.bin
0x00000289994f0000	0xa000	PRIVATE	READWRITE		1	2	0.00004883	0x00000289994f0000	0.164	region_0846_0x00000289994f0000_0xa000_PRIVATE_READWRITE.bin	region_0840_0x00000289994f0000_0xa000_PRIVATE_READWRITE.bin
0x00000289e1e60000	0xce000	PRIVATE	READWRITE		4	42	0.00004978	0x00000289e1e60000	4.016	region_6220_0x00000289e1e60000_0xce000_PRIVATE_READWRITE.bin	region_6228_0x00000289e1e60000_0xce000_PRIVATE_READWRITE.bin
0x00000289da7c0000	0x30000	PRIVATE	READWRITE		1	10	0.00005086	0x00000289da7e6000	4.248	region_6107_0x00000289da7c0000_0x30000_PRIVATE_READWRITE.bin	region_6115_0x00000289da7c0000_0x30000_PRIVATE_READWRITE.bin
0x000000af436f0000	0x1c000	PRIVATE	READWRITE		2	6	0.00005232	0x000000af43700000	0.201	region_0037_0x000000af436f0000_0x1c000_PRIVATE_READWRITE.bin	region_0025_0x000000af436f0000_0x1c000_PRIVATE_READWRITE.bin
