file	base	allocation_base	size	bytes_read	protect	type
region_0093_0x000000af46f00000_0x10000_PRIVATE_READWRITE.bin	0x000000af46f00000	0x000000af46e10000	0x10000	0x10000	READWRITE	PRIVATE
region_0094_0x000000af47000000_0x10000_PRIVATE_READWRITE.bin	0x000000af47000000	0x000000af46f10000	0x10000	0x10000	READWRITE	PRIVATE
region_0095_0x000000af47100000_0x10000_PRIVATE_READWRITE.bin	0x000000af47100000	0x000000af47010000	0x10000	0x10000	READWRITE	PRIVATE
region_0096_0x000000af47200000_0x10000_PRIVATE_READWRITE.bin	0x000000af47200000	0x000000af47110000	0x10000	0x10000	READWRITE	PRIVATE
region_0097_0x000000af47300000_0x10000_PRIVATE_READWRITE.bin	0x000000af47300000	0x000000af47210000	0x10000	0x10000	READWRITE	PRIVATE
region_0098_0x000000af47400000_0x10000_PRIVATE_READWRITE.bin	0x000000af47400000	0x000000af47310000	0x10000	0x10000	READWRITE	PRIVATE
region_0099_0x000000af47500000_0x10000_PRIVATE_READWRITE.bin	0x000000af47500000	0x000000af47410000	0x10000	0x10000	READWRITE	PRIVATE
region_0100_0x000000af47600000_0x10000_PRIVATE_READWRITE.bin	0x000000af47600000	0x000000af47510000	0x10000	0x10000	READWRITE	PRIVATE
region_0101_0x000000af47700000_0x10000_PRIVATE_READWRITE.bin	0x000000af47700000	0x000000af47610000	0x10000	0x10000	READWRITE	PRIVATE
region_0102_0x000000af47800000_0x10000_PRIVATE_READWRITE.bin	0x000000af47800000	0x000000af47710000	0x10000	0x10000	READWRITE	PRIVATE
region_0103_0x000000af47900000_0x10000_PRIVATE_READWRITE.bin	0x000000af47900000	0x000000af47810000	0x10000	0x10000	READWRITE	PRIVATE
region_0104_0x000000af47a00000_0x10000_PRIVATE_READWRITE.bin	0x000000af47a00000	0x000000af47910000	0x10000	0x10000	READWRITE	PRIVATE
region_0105_0x000000af47a10000_0x100000_PRIVATE_READWRITE.bin	0x000000af47a10000	0x000000af47a10000	0x100000	0x100000	READWRITE	PRIVATE
region_0106_0x000000af47b10000_0x100000_PRIVATE_READWRITE.bin	0x000000af47b10000	0x000000af47b10000	0x100000	0x100000	READWRITE	PRIVATE
region_0107_0x000000af47c10000_0x100000_PRIVATE_READWRITE.bin	0x000000af47c10000	0x000000af47c10000	0x100000	0x100000	READWRITE	PRIVATE
region_0108_0x000000af47d10000_0x100000_PRIVATE_READWRITE.bin	0x000000af47d10000	0x000000af47d10000	0x100000	0x100000	READWRITE	PRIVATE
region_0109_0x000000af47e10000_0x100000_PRIVATE_READWRITE.bin	0x000000af47e10000	0x000000af47e10000	0x100000	0x100000	READWRITE	PRIVATE
region_0110_0x000000af47f10000_0x100000_PRIVATE_READWRITE.bin	0x000000af47f10000	0x000000af47f10000	0x100000	0x100000	READWRITE	PRIVATE
region_0111_0x000000af48010000_0x100000_PRIVATE_READWRITE.bin	0x000000af48010000	0x000000af48010000	0x100000	0x100000	READWRITE	PRIVATE
region_0112_0x000000af48110000_0x100000_PRIVATE_READWRITE.bin	0x000000af48110000	0x000000af48110000	0x100000	0x100000	READWRITE	PRIVATE
